-1.645 10.400
-1.451 11.400
-0.411 10.200
-0.381 11.100
-0.170 8.982
0.232 7.421
0.332 9.821
0.896 7.931
1.613 8.765
1.932 7.893
2.012 4.821
2.237 6.997
2.871 6.286
3.137 4.234
3.337 7.434
3.658 5.131
4.24 4.871
4.963 3.658
5.632 4.546
5.673 4.169
5.981 3.613
6.128 2.245
6.625 4.572
7.132 2.763
7.432 1.213
8.156 0.856
8.432 2.295
8.742 1.802
9.113 2.843
9.923 0.662
10.45 0.794
10.323 1.598
11.016 1.786
11.813 0.898
12.013 1.214
12.167 2.257
12.972 0.416
13.168 1.466
13.834 0.732
14.321 0.401
14.821 1.098
15.178 2.987
15.478 0.687
